date,symbol,open,high,low,close,volume,adjusted,divd,split,source,recordDate
1980-12-12,AAPL,0.1283479928970337,0.1289059966802597,0.1283479928970337,0.1283479928970337,469033600,0.09919207910189784,0.0,1.0,yahoo,2023-12-13 16:42:37
1980-12-15,AAPL,0.1222100034356117,0.1222100034356117,0.1216519996523857,0.1216519996523857,175884800,0.09401716770206209,0.0,1.0,yahoo,2023-12-13 16:42:37
1980-12-16,AAPL,0.1132809966802597,0.1132809966802597,0.1127230003476142,0.1127230003476142,105728000,0.08711650657485444,0.0,1.0,yahoo,2023-12-13 16:42:37
1980-12-17,AAPL,0.1155129969120025,0.1160710006952285,0.1155129969120025,0.1155129969120025,86441600,0.08927271917827898,0.0,1.0,yahoo,2023-12-13 16:42:37
1980-12-18,AAPL,0.1188620030879974,0.1194199994206428,0.1188620030879974,0.1188620030879974,73449600,0.09186095509863755,0.0,1.0,yahoo,2023-12-13 16:42:37
1980-12-19,AAPL,0.1261159926652908,0.1266739964485168,0.1261159926652908,0.1261159926652908,48630400,0.09746710671592443,0.0,1.0,yahoo,2023-12-13 16:42:37
1980-12-22,AAPL,0.1322540044784546,0.1328130066394806,0.1322540044784546,0.1322540044784546,37363200,0.10221078941447792,0.0,1.0,yahoo,2023-12-13 16:42:37
1980-12-23,AAPL,0.1378349959850311,0.1383929997682571,0.1378349959850311,0.1378349959850311,46950400,0.10652398620464099,0.0,1.0,yahoo,2023-12-13 16:42:37
1980-12-24,AAPL,0.1450890004634857,0.1456470042467117,0.1450890004634857,0.1450890004634857,48003200,0.11213014933809673,0.0,1.0,yahoo,2023-12-13 16:42:37
1980-12-26,AAPL,0.1584820002317428,0.1590400040149688,0.1584820002317428,0.1584820002317428,55574400,0.12248075523725109,0.0,1.0,yahoo,2023-12-13 16:42:37
1980-12-29,AAPL,0.1607140004634857,0.1612720042467117,0.1607140004634857,0.1607140004634857,93161600,0.1242057276232245,0.0,1.0,yahoo,2023-12-13 16:42:37
1980-12-30,AAPL,0.1573659926652908,0.1573659926652908,0.156808003783226,0.156808003783226,68880000,0.1211870288268133,0.0,1.0,yahoo,2023-12-13 16:42:37
1980-12-31,AAPL,0.1529020071029663,0.1529020071029663,0.1523440033197403,0.1523440033197403,35750400,0.11773708405486652,0.0,1.0,yahoo,2023-12-13 16:42:37
1981-01-02,AAPL,0.1540179997682571,0.1551340073347091,0.1540179997682571,0.1540179997682571,21660800,0.11903081046530432,0.0,1.0,yahoo,2023-12-13 16:42:37
1981-01-05,AAPL,0.1512279957532882,0.1512279957532882,0.1506700068712234,0.1506700068712234,35728000,0.11644335764442865,0.0,1.0,yahoo,2023-12-13 16:42:37
1981-01-06,AAPL,0.1445309966802597,0.1445309966802597,0.1439729928970337,0.1439729928970337,45158400,0.11126765738702561,0.0,1.0,yahoo,2023-12-13 16:42:37
1981-01-07,AAPL,0.1383929997682571,0.1383929997682571,0.1378349959850311,0.1378349959850311,55686400,0.10652398620464099,0.0,1.0,yahoo,2023-12-13 16:42:37
1981-01-08,AAPL,0.1356029957532882,0.1356029957532882,0.1350450068712234,0.1350450068712234,39827200,0.10436777935930087,0.0,1.0,yahoo,2023-12-13 16:42:37
1981-01-09,AAPL,0.1422989964485168,0.1428570002317428,0.1422989964485168,0.1422989964485168,21504000,0.10997393097658775,0.0,1.0,yahoo,2023-12-13 16:42:37
1981-01-12,AAPL,0.1422989964485168,0.1422989964485168,0.141183003783226,0.141183003783226,23699200,0.10911145054168553,0.0,1.0,yahoo,2023-12-13 16:42:37
1981-01-13,AAPL,0.1367190033197403,0.1367190033197403,0.1361609995365142,0.1361609995365142,23049600,0.10523025979420311,0.0,1.0,yahoo,2023-12-13 16:42:37
1981-01-14,AAPL,0.1367190033197403,0.1372770071029663,0.1367190033197403,0.1367190033197403,14291200,0.10566150576973875,0.0,1.0,yahoo,2023-12-13 16:42:37
1981-01-15,AAPL,0.1395090073347091,0.140625,0.1395090073347091,0.1395090073347091,14067200,0.10781772413124766,0.0,1.0,yahoo,2023-12-13 16:42:37
1981-01-16,AAPL,0.1389510035514831,0.1389510035514831,0.1383929997682571,0.1383929997682571,13395200,0.10695523218017655,0.0,1.0,yahoo,2023-12-13 16:42:37
1981-01-19,AAPL,0.1467629969120025,0.1473210006952285,0.1467629969120025,0.1467629969120025,41574400,0.11342387574853453,0.0,1.0,yahoo,2023-12-13 16:42:37
1981-01-20,AAPL,0.1428570002317428,0.1428570002317428,0.1422989964485168,0.1422989964485168,30083200,0.10997393097658775,0.0,1.0,yahoo,2023-12-13 16:42:37
1981-01-21,AAPL,0.1450890004634857,0.1462049931287765,0.1450890004634857,0.1450890004634857,15904000,0.11213014933809673,0.0,1.0,yahoo,2023-12-13 16:42:37
1981-01-22,AAPL,0.1467629969120025,0.1478790044784546,0.1467629969120025,0.1467629969120025,35548800,0.11342387574853453,0.0,1.0,yahoo,2023-12-13 16:42:37
1981-01-23,AAPL,0.1467629969120025,0.1473210006952285,0.1462049931287765,0.1462049931287765,11222400,0.11299262977299897,0.0,1.0,yahoo,2023-12-13 16:42:37
1981-01-26,AAPL,0.1445309966802597,0.1445309966802597,0.1439729928970337,0.1439729928970337,24640000,0.11126765738702561,0.0,1.0,yahoo,2023-12-13 16:42:37
1981-01-27,AAPL,0.1439729928970337,0.1439729928970337,0.1428570002317428,0.1428570002317428,23699200,0.11040517695212332,0.0,1.0,yahoo,2023-12-13 16:42:37
1981-01-28,AAPL,0.1389510035514831,0.1389510035514831,0.1383929997682571,0.1383929997682571,28156800,0.10695523218017655,0.0,1.0,yahoo,2023-12-13 16:42:37
1981-01-29,AAPL,0.1339289993047714,0.1339289993047714,0.1333709955215454,0.1333709955215454,43904000,0.10307404143269423,0.0,1.0,yahoo,2023-12-13 16:42:37
1981-01-30,AAPL,0.1272320002317428,0.1272320002317428,0.1261159926652908,0.1261159926652908,46188800,0.09746710671592443,0.0,1.0,yahoo,2023-12-13 16:42:37
1981-02-02,AAPL,0.1194199994206428,0.1194199994206428,0.1188620030879974,0.1188620030879974,23766400,0.09186095509863755,0.0,1.0,yahoo,2023-12-13 16:42:37
1981-02-03,AAPL,0.1233260035514831,0.1238839998841285,0.1233260035514831,0.1233260035514831,19152000,0.09531089987058432,0.0,1.0,yahoo,2023-12-13 16:42:37
1981-02-04,AAPL,0.1277900040149688,0.1283479928970337,0.1277900040149688,0.1277900040149688,27865600,0.09876084464253108,0.0,1.0,yahoo,2023-12-13 16:42:37
1981-02-05,AAPL,0.1277900040149688,0.1289059966802597,0.1277900040149688,0.1277900040149688,7929600,0.09876084464253108,0.0,1.0,yahoo,2023-12-13 16:42:37
1981-02-06,AAPL,0.1283479928970337,0.1289059966802597,0.1283479928970337,0.1283479928970337,13865600,0.09919207910189784,0.0,1.0,yahoo,2023-12-13 16:42:37
1981-02-09,AAPL,0.1227679997682571,0.1227679997682571,0.1216519996523857,0.1216519996523857,16755200,0.09401716770206209,0.0,1.0,yahoo,2023-12-13 16:42:37
1981-02-10,AAPL,0.1216519996523857,0.1222100034356117,0.1216519996523857,0.1216519996523857,18345600,0.09401716770206209,0.0,1.0,yahoo,2023-12-13 16:42:37
1981-02-11,AAPL,0.1183039993047714,0.1183039993047714,0.117746002972126,0.117746002972126,13843200,0.09099846890565087,0.0,1.0,yahoo,2023-12-13 16:42:37
1981-02-12,AAPL,0.1171879991889,0.1171879991889,0.1166289970278739,0.1166289970278739,14560000,0.09013520537126564,0.0,1.0,yahoo,2023-12-13 16:42:37
1981-02-13,AAPL,0.1149550005793571,0.1149550005793571,0.1138390004634857,0.1138390004634857,11155200,0.08797899276784119,0.0,1.0,yahoo,2023-12-13 16:42:37
